id,Label,latitude,longitude
165,DABC,36.2760009765625,6.620389938354492
166,DAON,35.0167007446,-1.4500000476800001
167,DAOO,35.6239013672,-0.6211829781529999
168,DAUB,34.793300628699996,5.73823022842
169,DAUU,31.917200088500977,5.412779808044434
170,DBBB,6.357230186462402,2.384350061416626
171,DFFD,12.3532,-1.51242
172,DFOO,11.160099983215332,-4.33096981048584
173,DGAA,5.605189800262451,-0.16678600013256073
174,DIAP,5.261390209197998,-3.9262900352478023
175,DNAA,9.006790161132812,7.263169765472412
176,DNAI,4.8725,8.093
177,DNBE,6.3169798851013175,5.599500179290772
178,DNCA,4.976019859313965,8.347200393676758
179,DNEN,6.4742698669433585,7.561960220336914
180,DNIM,5.427060127258301,7.2060298919677725
181,DNJO,9.639829635620117,8.869050025939941
182,DNKA,10.696000099182127,7.320109844207764
183,DNKN,12.0476,8.52462
184,DNMM,6.5773701667785645,3.321160078048706
185,DRRN,13.4815,2.18361
186,DTMB,35.75809860229492,10.75469970703125
187,DTTA,36.85100173950195,10.22719955444336
188,DTTJ,33.875,10.775500297546387
189,DTTX,34.71799850463867,10.690999984741213
190,DTTZ,33.939701080322266,8.110560417175293
191,DXXX,6.165609836578369,1.2545100450515747
192,EBAW,51.189399719200004,4.46027994156
193,EBBR,50.9014015198,4.48443984985
194,EBCI,50.459202000000005,4.4538199999999994
195,EBLG,50.63740158081055,5.443220138549805
196,EDDB,52.380001,13.5225
197,EDDC,51.1328010559082,13.767200469970705
198,EDDE,50.97980117797852,10.958100318908693
199,EDDF,50.033333,8.570556
200,EDDG,52.134601593,7.68483018875
201,EDDH,53.630401611328004,9.988229751586902
202,EDDK,50.865898132299996,7.1427397728
203,EDDL,51.289501,6.766780000000001
204,EDDM,48.353802,11.7861
205,EDDN,49.498699,11.078056
206,EDDP,51.423889,12.236388999999999
207,EDDR,49.2145996094,7.10950994492
208,EDDS,48.6898994446,9.22196006775
209,EDDT,52.5597,13.2877
210,EDDV,52.461101532,9.68507957458
211,EDDW,53.0475006104,8.78666973114
212,EDFH,49.9487,7.263889999999999
213,EDHI,53.5352783203125,9.835556030273438
214,EDJA,47.9888000488,10.2395000458
215,EDLP,51.614101409899995,8.616319656369999
216,EDLV,51.6024017334,6.14216995239
217,EDLW,51.518299102799986,7.61223983765
218,EDMA,48.425278000000006,10.931667
219,EDNY,47.671298980699994,9.511489868160002
220,EDSB,48.7793998718,8.08049964905
221,EDVK,51.417273,9.384967
222,EDXW,54.9132003784,8.34047031403
223,EEKE,58.22990036010742,22.50950050354004
224,EETN,59.41329956049999,24.8327999115
225,EFHK,60.317199707031,24.963300704956
226,EFIV,68.607299804688,27.405300140380998
227,EFMA,60.122200012207,19.898199081421
228,EFOU,64.930099487305,25.354600906372
229,EFPO,61.461700439453004,21.799999237061
230,EFTP,61.414100646973,23.604400634766
231,EFTU,60.514099121094,22.262800216675
232,EFVA,63.050701141357,21.762199401855
233,EGAA,54.6575012207,-6.21582984924
234,EGAC,54.61809921264648,-5.872499942779541
235,EGAE,55.04280090332031,-7.161109924316406
236,EGBB,52.4538993835,-1.7480299472799998
237,EGCC,53.35369873046875,-2.2749500274658203
238,EGCN,53.4805378105,-1.01065635681
239,EGEC,55.43719863891602,-5.686389923095702
240,EGEN,59.367500305200004,-2.43443989754
241,EGEP,59.351699829100006,-2.9002799987800003
242,EGER,59.1553001404,-2.6413900852200003
243,EGES,59.25030136108398,-2.576669931411743
244,EGEW,59.350299835200005,-2.95000004768
245,EGFF,51.39670181274414,-3.343329906463623
246,EGGD,51.382702,-2.71909
247,EGGP,53.33359909057617,-2.849720001220703
248,EGGW,51.87469863891602,-0.36833301186561584
249,EGHC,50.102798,-5.67056
250,EGHE,49.91329956054688,-6.291669845581055
251,EGHH,50.77999877929688,-1.8424999713897705
252,EGHI,50.95029830932617,-1.3567999601364136
253,EGHQ,50.44060134887695,-4.995409965515137
254,EGJA,49.706103999999996,-2.2147200000000002
255,EGJB,49.43500137329102,-2.601969957351685
256,EGJJ,49.20790100097656,-2.1955099105834956
257,EGKK,51.148102,-0.190278
258,EGLC,51.505299,0.055277999999999994
259,EGLL,51.4706,-0.461941
260,EGMC,51.5713996887207,0.6955559849739075
261,EGNJ,53.57440185546875,-0.350832998752594
262,EGNM,53.86589813232422,-1.6605700254440308
263,EGNS,54.08330154418945,-4.623889923095703
264,EGNT,55.037498474121094,-1.6916699409484863
265,EGNV,54.50920104980469,-1.4294099807739258
266,EGNX,52.8311004639,-1.32806003094
267,EGPA,58.957801818847656,-2.9049999713897705
268,EGPB,59.87889862060547,-1.295560002326965
269,EGPC,58.458900451660156,-3.09306001663208
270,EGPD,57.20190048217773,-2.1977798938751216
271,EGPE,57.54249954223633,-4.047500133514403
272,EGPF,55.8718986511,-4.43306016922
273,EGPH,55.95000076293945,-3.372499942779541
274,EGPK,55.5093994140625,-4.586669921875
275,EGPL,57.48109817504883,-7.362780094146728
276,EGPN,56.45249938964844,-3.0258300304412837
277,EGSH,52.675800323500006,1.28278005123
278,EGSS,51.8849983215,0.23499999940400002
279,EGTE,50.73440170288086,-3.4138898849487305
280,EHAM,52.308601,4.76389
281,EHBK,50.911701,5.7701400000000005
282,EHEH,51.4500999451,5.374529838559999
283,EHRD,51.956902,4.43722
284,EICK,51.84130096435547,-8.491109848022461
285,EIDL,55.0442008972168,-8.340999603271483
286,EIDW,53.421299,-6.27007
287,EIKN,53.9103012084961,-8.818490028381348
288,EIKY,52.18090057373047,-9.52377986907959
289,EINN,52.702,-8.92482
290,EKAH,56.2999992371,10.619000434899998
291,EKBI,55.7402992249,9.15178012848
292,EKCH,55.617900848389,12.656000137328999
293,EKVG,62.0635986328125,-7.277219772338867
294,EKYT,57.092758913800004,9.84924316406
295,ELLX,49.6233333,6.204444400000001
296,ENAL,62.5625,6.119699954986572
297,ENAN,69.292503356934,16.144199371338
298,ENAT,69.976097106934,23.371700286865
299,ENBN,65.461097717285,12.217499732971001
300,ENBO,67.26920318603516,14.365300178527832
301,ENBR,60.29339981,5.218140125
302,ENBS,70.60050201416,29.691400527954002
303,ENBV,70.871399,29.034201
304,ENCN,58.204201,8.08537
305,ENDU,69.055801391602,18.540399551392
306,ENEV,68.491302490234,16.678100585938
307,ENFL,61.583599090576,5.0247201919556
308,ENGM,60.121,11.0502
309,ENHD,59.34529876709001,5.208360195159901
310,ENHF,70.67970275878899,23.668600082397
311,ENHK,70.486701965332,22.139699935913
312,ENHV,71.009696960449,25.983600616455004
313,ENKR,69.725799560547,29.891300201416
314,ENLK,68.152496337891,13.609399795532
315,ENMH,71.02970123291,27.826700210570998
316,ENMS,65.78399658203101,13.214900016785
317,ENNA,70.068801879883,24.973499298095998
318,ENNM,64.472198486328,11.57859992981
319,ENOV,62.180000305176,6.074100017547599
320,ENRA,66.363899230957,14.301400184631
321,ENRM,64.838302612305,11.14610004425
322,ENSD,61.830001831055,6.1058301925659
323,ENSK,68.578826904297,15.033416748047
324,ENSR,69.786796569824,20.959400177002
325,ENST,65.95680236816399,12.468899726868
326,ENTC,69.68329620361328,18.91889953613281
327,ENTO,59.1866989136,10.258600235
328,ENVA,63.45780179999999,10.9239998
329,ENSS,70.355400085449,31.044900894165
330,ENKB,63.111801147461,7.8245201110839995
331,ENZV,58.876701354,5.637780189500001
332,EPGD,54.377601623535156,18.46619987487793
333,EPKK,50.077702,19.7848
334,EPKT,50.4743,19.08
335,EPLB,51.240278,22.713611
336,EPMO,52.451099,20.6518
337,EPPO,52.4210014343,16.8262996674
338,EPRZ,50.1100006104,22.018999099699997
339,EPSC,53.584701538100006,14.902199745199999
340,EPWA,52.1656990051,20.9671001434
341,EPWR,51.10269927979999,16.885799408
342,ESDF,56.266700744629,15.265000343322999
343,ESGG,57.662799835205,12.279800415039
344,ESGJ,57.75759887695313,14.068699836730955
345,ESGT,58.31809997558594,12.345000267028807
346,ESKN,58.78860092163086,16.912200927734375
347,ESMK,55.92169952392578,14.08549976348877
348,ESMQ,56.68550109863281,16.287599563598633
349,ESMS,55.53630536399999,13.3761978149
350,ESMT,56.69110107421875,12.820199966430664
351,ESMX,56.929100036621094,14.727999687194824
352,ESNK,63.04859924316406,17.76889991760254
353,ESNL,64.54830169677734,18.71619987487793
354,ESNN,62.528099060058594,17.443899154663086
355,ESNO,63.40829849243164,18.989999771118164
356,ESNQ,67.821998596191,20.336799621582
357,ESNS,64.62480163574219,21.076900482177734
358,ESNU,63.791801452636996,20.282800674438
359,ESNV,64.5791015625,16.833599090576172
360,ESNZ,63.194400787354,14.500300407410002
361,ESOK,59.444698333699996,13.337400436400001
362,ESOW,59.58940124511719,16.633600234985348
363,ESPA,65.543800354004,22.121999740601
364,ESNG,67.13240051269531,20.814599990844727
365,ESSA,59.651901245116996,17.918600082397
366,ESSB,59.35440063476562,17.941699981689453
367,ETNL,53.9182014465,12.2783002853
368,EVRA,56.92359924316406,23.971099853515625
369,EYKA,54.96390151977539,24.084800720214844
370,EYVI,54.634102,25.285801
371,FABL,-29.092699050900002,26.302400589
372,FACT,-33.9648017883,18.6016998291
373,FAEL,-33.0355987549,27.825899124099998
374,FAGG,-34.0056,22.378902
375,FAKN,-25.383199691799998,31.105600357100002
376,FALA,-25.9384994507,27.926099777199997
377,FALE,-29.6144444444,31.119722222199997
378,FBFT,-21.15959930419922,27.47450065612793
379,FBKE,-17.83289909362793,25.16239929199219
380,FBMN,-19.97260093688965,23.431100845336914
381,FBSK,-24.555201,25.9182
382,FCBB,-4.251699924468993,15.253000259399414
383,FCPP,-4.816030025482178,11.88659954071045
384,FEFF,4.39847993850708,18.518800735473636
385,FGBT,1.9054700136184688,9.80568027496338
386,FGSL,3.7552700042724614,8.708720207214355
387,FIMP,-20.430201,57.683601
388,FKKD,4.0060801506,9.71947956085
389,FKKL,10.45139980316162,14.257399559020994
390,FKYS,3.722559928894043,11.553299903869627
391,FLKS,-10.216699600219727,31.13330078125
392,FLND,-12.998100280762,28.66489982605
393,FMCH,-11.5337,43.2719
394,FMCZ,-12.804699897766113,45.28110122680664
395,FMEE,-20.88710021972656,55.51029968261719
396,FMMI,-18.7969,47.478802
397,FMMS,-17.093900680541992,49.81579971313477
398,FMNA,-12.34939956665039,49.29169845581055
399,FMSD,-25.03809928894043,46.95610046386719
400,FNCA,-5.59699010848999,12.188400268554688
401,FNCT,-12.4792,13.4869
402,FNGI,-17.0435009003,15.683799743700002
403,FNHU,-12.808899879455565,15.760499954223633
404,FNLU,-8.858369999999999,13.2312
405,FNUB,-14.924699783325195,13.574999809265135
406,FOOL,0.45860001444799997,9.4122800827
407,FPST,0.3781749904155731,6.712150096893311
408,FQBR,-19.79640007019043,34.90760040283203
409,FQCH,-19.15130043029785,33.429000854492195
410,FQIN,-23.876399993896484,35.40850067138672
411,FQLC,-13.274000000000001,35.2663
412,FQMA,-25.920799,32.572601
413,FQNP,-15.105600357055664,39.28179931640625
414,FSIA,-4.67434,55.521801
415,FTTJ,12.1337,15.034
416,FVBU,-20.017401,28.617901
417,FVFA,-18.09589958190918,25.839000701904297
418,FVHA,-17.931801,31.0928
419,FWCL,-15.679100036621096,34.9739990234375
420,FWKI,-13.7894001007,33.78099823
421,FYLZ,-26.68740081787109,15.242899894714355
422,FYOG,-28.5847,16.446699
423,FYWB,-22.9799,14.6453
424,FZAA,-4.38575,15.4446
425,FZQA,-11.5913000107,27.5308990479
426,GABS,12.5335,-7.94994
427,GBYD,13.338000297546387,-16.65220069885254
428,GCFV,28.452699661254886,-13.863800048828125
429,GCHI,27.814800262451172,-17.887100219726562
430,GCLA,28.626499,-17.7556
431,GCLP,27.931900024414066,-15.38659954071045
432,GCRR,28.945498999999998,-13.6052
433,GCTS,28.044500351,-16.5725002289
434,GCXO,28.4827003479,-16.341499328599998
435,GEML,35.279800415,-2.9562599658999997
436,GFLL,8.616439999999999,-13.1955
437,GMAD,30.32500076293945,-9.41306972503662
438,GMFF,33.927299499499995,-4.977960109709999
439,GMFO,34.78720092773437,-1.92399001121521
440,GMME,34.051497999999995,-6.751519999999999
441,GMML,27.151699,-13.2192
442,GMMH,23.7183,-15.932
443,GMMN,33.36750030517578,-7.589970111846924
444,GMMW,34.988800048799995,-3.0282099247000005
445,GMMX,31.6068992615,-8.036299705510002
446,GMTT,35.726898193400004,-5.916890144349999
447,GUCY,9.576889999999999,-13.612
448,GVAC,16.7414,-22.9494
449,GVNP,14.924500465393065,-23.49349975585937
450,GVSV,16.833200454711914,-25.05529975891113
451,HAAB,8.97789001465,38.7993011475
452,HADR,9.624699592590332,41.85419845581055
453,HAGO,5.935130119319999,43.578601837200004
454,HBBA,-3.3240199089050293,29.318500518798828
455,HCMH,9.518170356750488,44.08879852294922
456,HCMM,2.014440059661865,45.3046989440918
457,HDAM,11.547300338745115,43.15950012207031
458,HEAT,27.0464992523,31.0119991302
459,HEBA,30.91769981384277,29.696399688720703
460,HEBL,22.3759994507,31.611700058
461,HECA,30.12190055847168,31.40559959411621
462,HEGN,27.178300857543945,33.799400329589844
463,HELX,25.671,32.7066
464,HEMA,25.557100295999998,34.5836982727
465,HESH,27.977300643899998,34.3950004578
466,HHAS,15.291899681091307,38.91070175170898
467,HKEL,0.4044579863548279,35.23889923095703
468,HKJK,-1.31923997402,36.9277992249
469,HKKT,0.9719889760017396,34.95859909057617
470,HKLU,-2.252419948577881,40.91310119628906
471,HKML,-3.2293100357055664,40.10169982910156
472,HKMO,-4.034830093383788,39.594200134277344
473,HKNW,-1.3217200040817259,36.81480026245117
474,HLLB,32.096801757799994,20.2695007324
475,HLLT,32.6635017395,13.159000396700002
476,HRYR,-1.9686299999999999,30.1395
477,HSFS,13.61489963531494,25.32460021972656
478,HSGN,13.48169994354248,22.467199325561523
479,HSPN,19.4335994720459,37.23410034179688
480,HSSJ,4.87201023102,31.601100921599997
481,HSSS,15.589500427246096,32.55319976806641
482,HTAR,-3.3677899837493896,36.63330078125
483,HTDA,-6.87811,39.202599
484,HTKJ,-3.42940998077,37.0745010376
485,HUEN,0.042386,32.443501
486,KABE,40.652099609375,-75.44080352783203
487,KABI,32.4113006592,-99.68190002440001
488,KABQ,35.040199,-106.609001
489,KABR,45.44910049438477,-98.42179870605469
490,KABY,31.535499572753906,-84.19450378417969
491,KACK,41.25310135,-70.06020355
492,KACT,31.61129951477051,-97.23049926757812
493,KACV,40.978101,-124.109
494,KACY,39.45759963989258,-74.57720184326172
495,KAEX,31.32740020751953,-92.54979705810548
496,KAGS,33.36989974975586,-81.9645004272461
497,KAIA,42.0531997681,-102.804000854
498,KALB,42.74829864501953,-73.80169677734375
499,KALO,42.55709838867188,-92.40029907226562
500,KALS,37.434898,-105.866997
501,KALW,46.09489822,-118.288002
502,KAMA,35.219398,-101.706001
503,KAPN,45.07809829999999,-83.56030273
504,KART,43.99190139770508,-76.02169799804688
505,KASE,39.22320175,-106.8690033
506,KATL,33.6367,-84.428101
507,KATW,44.258098602299995,-88.51909637450001
508,KATY,44.91400146,-97.15470123
